dataset,injector,targets_subdimension,dose,seed,realized_dose,pretraining_score,threshold,risk_level,modality,context,targets_subdimension_post,dimension,model,n_train,n_test,units,downstream_auc,downstream_ece,downstream_brier,evaluator,worst_subgroup_auc,subgroup_auc_gap,n_subgroups_scored
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.05,1,0.0499292500505356,0.1752,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324,25442,fraction,0.6755713584606943,0.0025732592785277413,0.09435744056156292,clean held-out test set (no pre-training detector reused),0.5704459203036053,0.22955407969639474,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.1,1,0.1000606428138265,0.1764,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324,25442,fraction,0.6436326230560653,0.004107924851475403,0.09607204634084077,clean held-out test set (no pre-training detector reused),0.4871794871794871,0.3229654403567448,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.1,1,0.1000606428138265,0.1764,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324,25442,fraction,0.6771068131504673,0.0024576374337240557,0.09432559004336952,clean held-out test set (no pre-training detector reused),0.6114800759013282,0.1936481292268769,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.2,1,0.1999191429148979,0.1788,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324,25442,fraction,0.6436573386872232,0.003873531418219877,0.09607386172972074,clean held-out test set (no pre-training detector reused),0.482051282051282,0.32229654403567454,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.2,1,0.1999191429148979,0.1788,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324,25442,fraction,0.6773363599644362,0.001200283542865503,0.09435237242581654,clean held-out test set (no pre-training detector reused),0.5716318785578748,0.19759889067289438,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.3,1,0.2999797857287244,0.1828,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324,25442,fraction,0.6438159955855951,0.0037792843693278473,0.09609051042723746,clean held-out test set (no pre-training detector reused),0.4923076923076922,0.3207357859531773,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.3,1,0.2999797857287244,0.1828,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324,25442,fraction,0.6775119640563039,0.0015334732763609181,0.09428128258349087,clean held-out test set (no pre-training detector reused),0.5671252371916509,0.26364399357757984,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.4,1,0.400040428542551,0.182,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324,25442,fraction,0.6446377046116485,0.0031960563520140517,0.09604745978959209,clean held-out test set (no pre-training detector reused),0.4923076923076923,0.30914158305462663,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.4,1,0.400040428542551,0.182,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324,25442,fraction,0.6778320283630724,0.002229473194898539,0.09434317431827136,clean held-out test set (no pre-training detector reused),0.59938330170778,0.19548849316401495,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.0,2,0.0,0.1728,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324,25442,fraction,0.6394700806610051,0.002429183478795948,0.09620687459323737,clean held-out test set (no pre-training detector reused),0.4366197183098592,0.30588028169014086,12.0
