dataset,modality,context,injector,targets_subdimension,dimension,dose,realized_dose,seed,model,n_train,n_test,units,downstream_auc,downstream_ece,downstream_brier,evaluator,worst_subgroup_auc,subgroup_auc_gap,n_subgroups_scored
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.3,0.2999973795922646,1,logreg,76324,25442,fraction,0.6186110541486285,0.23292633544985478,0.15131447534872838,clean held-out test set (no pre-training detector reused),0.5367647058823529,0.13424978687127032,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.3,0.2999973795922646,1,xgboost,76324,25442,fraction,0.6232938559044732,0.23291500503818582,0.15126011937156994,clean held-out test set (no pre-training detector reused),0.5206356736242884,0.19095852927426227,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.4,0.4000052408154709,1,logreg,76324,25442,fraction,0.5820025916505394,0.31105726940049927,0.19498758735405403,clean held-out test set (no pre-training detector reused),0.4507936507936508,0.20024801587301583,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.4,0.4000052408154709,1,xgboost,76324,25442,fraction,0.570751018736708,0.3112023009726597,0.1954315679219503,clean held-out test set (no pre-training detector reused),0.43333333333333335,0.15285370453777725,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.0,0.0,2,logreg,76324,25442,fraction,0.6394700806610051,0.002429183478795948,0.09620687459323737,clean held-out test set (no pre-training detector reused),0.4366197183098592,0.30588028169014086,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.0,0.0,2,xgboost,76324,25442,fraction,0.6730781107290508,0.0020850863426756226,0.09455453364981793,clean held-out test set (no pre-training detector reused),0.4964788732394366,0.2850489045383412,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.03,0.03000366857082962,2,logreg,76324,25442,fraction,0.6410212280623645,0.02314068010714051,0.09664264439473855,clean held-out test set (no pre-training detector reused),0.43661971830985913,0.2971302816901409,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.03,0.03000366857082962,2,xgboost,76324,25442,fraction,0.6698874333903221,0.02329126780234185,0.09533520479372723,clean held-out test set (no pre-training detector reused),0.5105633802816901,0.259297730829421,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.05,0.04999737959226456,2,logreg,76324,25442,fraction,0.6412604211409529,0.038563631233993784,0.09756936715096216,clean held-out test set (no pre-training detector reused),0.45422535211267606,0.28313575899843507,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.05,0.04999737959226456,2,xgboost,76324,25442,fraction,0.6672767942024922,0.03855885083652215,0.09636537686427593,clean held-out test set (no pre-training detector reused),0.5492957746478874,0.22807869601151975,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.1,0.09999475918452912,2,logreg,76324,25442,fraction,0.6404006101488334,0.07695099485917367,0.10203101852620984,clean held-out test set (no pre-training detector reused),0.45422535211267606,0.30077464788732394,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.1,0.09999475918452912,2,xgboost,76324,25442,fraction,0.6627573088492541,0.07707889371979638,0.10098516052828825,clean held-out test set (no pre-training detector reused),0.545774647887324,0.19380868544600927,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.2,0.20000262040773545,2,logreg,76324,25442,fraction,0.6332138469183308,0.1550398034179299,0.12054166519519321,clean held-out test set (no pre-training detector reused),0.397887323943662,0.3339182316118936,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.2,0.20000262040773545,2,xgboost,76324,25442,fraction,0.6459655620249595,0.15502948046788353,0.11998673245228622,clean held-out test set (no pre-training detector reused),0.4225352112676056,0.2755203442879499,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.3,0.2999973795922646,2,logreg,76324,25442,fraction,0.6120907870271983,0.23259213989975228,0.15134550711086744,clean held-out test set (no pre-training detector reused),0.323943661971831,0.3831458902669749,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.3,0.2999973795922646,2,xgboost,76324,25442,fraction,0.6160129987389574,0.23227107190793436,0.15115697201665107,clean held-out test set (no pre-training detector reused),0.5246478873239437,0.130629890453834,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.4,0.4000052408154709,2,logreg,76324,25442,fraction,0.5755206290823159,0.3102230137723568,0.19456181808466677,clean held-out test set (no pre-training detector reused),0.4014084507042253,0.3933676686987598,12.0
