dataset,subdimension,dimension,model,outcome_metric,n,pearson_r,ci_low,ci_high,expected_sign,sign_as_predicted,ci_excludes_zero,confirmed,rubric_r2,rubric_rmse,oracle_r2,oracle_rmse,naive_rmse,units
diabetes_130,safety_critical_edge_case_coverage,physical_safety,logreg,subgroup_auc_gap,35,0.05992387173418494,-0.2619885048090719,0.38640875965626437,+,True,False,False,0.003590870403614721,0.025813311642540627,0.01457916486213462,0.025670583819985996,0.02585978296282382,fraction
diabetes_130,safety_critical_edge_case_coverage,physical_safety,xgboost,downstream_auc,35,-0.21728046283486516,-0.5060274479837237,0.15479567928417096,-,True,False,False,0.04721079952972951,0.001895089799036751,0.01762505981189333,0.0019242877652307984,0.0019414731149517356,fraction
diabetes_130,safety_critical_edge_case_coverage,physical_safety,xgboost,downstream_ece,35,0.3372205567112875,0.00010199889925534005,0.6262390564172653,+,True,True,True,0.11371770386867064,0.0008869990235325354,0.01827258919060404,0.0009335392089880427,0.0009421869934062126,fraction
diabetes_130,safety_critical_edge_case_coverage,physical_safety,xgboost,downstream_brier,35,0.41334283604115496,0.07796645372614626,0.6694169470857755,+,True,True,True,0.1708523001065454,0.0002306699749768605,0.02696556563316721,0.000249884445287828,0.000253323289197505,fraction
diabetes_130,safety_critical_edge_case_coverage,physical_safety,xgboost,worst_subgroup_auc,35,0.016673754470411452,-0.30928298354140293,0.2760962100500489,-,False,False,False,0.0002780140881391002,0.030969311196584692,0.0005463705146648845,0.030965154355184387,0.030973617046827075,fraction
diabetes_130,safety_critical_edge_case_coverage,physical_safety,xgboost,subgroup_auc_gap,35,0.07712512151928734,-0.21659995886278594,0.4012218007213354,+,True,False,False,0.005948284369364787,0.03588091589781372,0.0015342696568428904,0.0359604909641587,0.03598810929376469,fraction
framingham,label_integrity,content_safety,logreg,downstream_auc,35,-0.637593379725626,-0.7762795642677186,-0.4869582908664385,-,True,True,True,0.40652531786994683,0.04664289250397271,0.5144928509808266,0.042187344675175625,0.06054584943977543,fraction
framingham,label_integrity,content_safety,logreg,downstream_ece,35,0.9805234774058801,0.9745369912366102,0.9872569185303617,+,True,True,True,0.9614262897441201,0.01787398993523134,0.9924894639961641,0.007886989601645897,0.0910072103384885,fraction
framingham,label_integrity,content_safety,logreg,downstream_brier,35,0.9098869624017147,0.8781685571475337,0.94185534905368,+,True,True,True,0.8278942843486189,0.012612852980019688,0.9290516399739612,0.008098169587459288,0.030402947299609802,fraction
framingham,label_integrity,content_safety,logreg,worst_subgroup_auc,21,-0.4390408596737337,-0.6884574657513937,-0.07564690817118269,-,True,True,True,0.0,,0.0,,0.11405896839723602,fraction
framingham,label_integrity,content_safety,logreg,subgroup_auc_gap,21,-0.05846331679232913,-0.5028028112867634,0.2733280858770753,+,False,False,False,0.0,,0.0,,0.12035638367183456,fraction
