dataset,modality,context,injector,targets_subdimension,dimension,dose,realized_dose,seed,model,n_train,n_test,units,downstream_auc,downstream_ece,downstream_brier,evaluator,worst_subgroup_auc,subgroup_auc_gap,n_subgroups_scored
framingham,tabular,health,label_flip,label_integrity,content_safety,0.0,0.0,2,xgboost,3180,1060,fraction,0.681758199241393,0.048558243094143944,0.12304723804299206,clean held-out test set (no pre-training detector reused),0.396551724137931,0.36386494252873564,2.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.03,0.029874213836477988,2,logreg,3180,1060,fraction,0.7416591243548732,0.03235653420782549,0.11515299545950464,clean held-out test set (no pre-training detector reused),0.4827586206896552,0.21515804597701144,2.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.03,0.029874213836477988,2,xgboost,3180,1060,fraction,0.6702201894444483,0.03473175589438914,0.12528530126961201,clean held-out test set (no pre-training detector reused),0.3103448275862069,0.5646551724137931,2.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.05,0.05,2,logreg,3180,1060,fraction,0.7431860106812953,0.05008871383404242,0.11603841583861271,clean held-out test set (no pre-training detector reused),0.48275862068965514,0.19432471264367812,2.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.05,0.05,2,xgboost,3180,1060,fraction,0.6634701082638405,0.05126684443884582,0.12602541908504414,clean held-out test set (no pre-training detector reused),0.31034482758620685,0.3875718390804599,2.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.1,0.1,2,logreg,3180,1060,fraction,0.7396693358389929,0.06962213686247526,0.12029471657756745,clean held-out test set (no pre-training detector reused),0.6458333333333334,0.06106321839080453,2.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.1,0.1,2,xgboost,3180,1060,fraction,0.6556905878857806,0.06497563343178833,0.13170885303735028,clean held-out test set (no pre-training detector reused),0.5,0.41666666666666663,2.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.2,0.2,2,logreg,3180,1060,fraction,0.7285044113887758,0.1448608325353915,0.1379143328781759,clean held-out test set (no pre-training detector reused),0.27586206896551724,0.5053879310344828,2.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.2,0.2,2,xgboost,3180,1060,fraction,0.6164820815398753,0.1317230212168311,0.14692794392475567,clean held-out test set (no pre-training detector reused),0.6145833333333334,0.144037356321839,2.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.3,0.3,2,logreg,3180,1060,fraction,0.6878933804986908,0.18714758715341548,0.15860454799318988,clean held-out test set (no pre-training detector reused),0.6770833333333333,0.08153735632183912,2.0
