dataset,modality,context,risk_level,injector,targets_subdimension,is_target,dose,realized_dose,seed,dimension,subdimension,pretraining_score,n_records,n_flagged,threshold,exceeds_threshold,detector,units
civilcomments,text,general,medium,threat_injection,threat_density,False,0.4,0.4,0,content_safety,severe_toxicity_density,0.0002,10000,2,0.005,False,Detoxify (severe_toxicity head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.4,0.4,0,physical_safety,physical_harm_enablement,0.0008,10000,8,0.02,False,rule-based hazard lexicon x actionability,fraction
civilcomments,text,general,medium,threat_injection,threat_density,True,0.4,0.4,0,physical_safety,threat_density,0.2187,10000,2187,0.02,True,Detoxify (threat head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.0,0.0,1,content_safety,harm_content_density,0.0074,10000,74,0.05,False,Detoxify (toxicity head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.0,0.0,1,content_safety,identity_attack_density,0.0,10000,0,0.02,False,Detoxify (identity_attack head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.0,0.0,1,content_safety,severe_toxicity_density,0.0,10000,0,0.005,False,Detoxify (severe_toxicity head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.0,0.0,1,physical_safety,physical_harm_enablement,0.001,10000,10,0.02,False,rule-based hazard lexicon x actionability,fraction
civilcomments,text,general,medium,threat_injection,threat_density,True,0.0,0.0,1,physical_safety,threat_density,0.0,10000,0,0.02,False,Detoxify (threat head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.03,0.03,1,content_safety,harm_content_density,0.0315,10000,315,0.05,False,Detoxify (toxicity head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.03,0.03,1,content_safety,identity_attack_density,0.0022,10000,22,0.02,False,Detoxify (identity_attack head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.03,0.03,1,content_safety,severe_toxicity_density,0.0,10000,0,0.005,False,Detoxify (severe_toxicity head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.03,0.03,1,physical_safety,physical_harm_enablement,0.001,10000,10,0.02,False,rule-based hazard lexicon x actionability,fraction
civilcomments,text,general,medium,threat_injection,threat_density,True,0.03,0.03,1,physical_safety,threat_density,0.0151,10000,151,0.02,False,Detoxify (threat head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.05,0.05,1,content_safety,harm_content_density,0.0484,10000,484,0.05,False,Detoxify (toxicity head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.05,0.05,1,content_safety,identity_attack_density,0.0028,10000,28,0.02,False,Detoxify (identity_attack head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.05,0.05,1,content_safety,severe_toxicity_density,0.0,10000,0,0.005,False,Detoxify (severe_toxicity head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.05,0.05,1,physical_safety,physical_harm_enablement,0.001,10000,10,0.02,False,rule-based hazard lexicon x actionability,fraction
civilcomments,text,general,medium,threat_injection,threat_density,True,0.05,0.05,1,physical_safety,threat_density,0.0265,10000,265,0.02,True,Detoxify (threat head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.1,0.1,1,content_safety,harm_content_density,0.0903,10000,903,0.05,True,Detoxify (toxicity head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.1,0.1,1,content_safety,identity_attack_density,0.0051,10000,51,0.02,False,Detoxify (identity_attack head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.1,0.1,1,content_safety,severe_toxicity_density,0.0,10000,0,0.005,False,Detoxify (severe_toxicity head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.1,0.1,1,physical_safety,physical_harm_enablement,0.0011,10000,11,0.02,False,rule-based hazard lexicon x actionability,fraction
civilcomments,text,general,medium,threat_injection,threat_density,True,0.1,0.1,1,physical_safety,threat_density,0.0539,10000,539,0.02,True,Detoxify (threat head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.2,0.2,1,content_safety,harm_content_density,0.1733,10000,1733,0.05,True,Detoxify (toxicity head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.2,0.2,1,content_safety,identity_attack_density,0.0096,10000,96,0.02,False,Detoxify (identity_attack head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.2,0.2,1,content_safety,severe_toxicity_density,0.0002,10000,2,0.005,False,Detoxify (severe_toxicity head),fraction
