dataset,modality,context,risk_level,injector,targets_subdimension,is_target,dose,realized_dose,seed,dimension,subdimension,pretraining_score,n_records,n_flagged,threshold,exceeds_threshold,detector,units
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.4,0.4000052408154709,0,content_safety,representation_imbalance,0.6510290715521049,76324,486,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,True,0.4,0.4000052408154709,0,physical_safety,measurement_range_violation,0.4000052408154709,76324,30530,0.01,True,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.4,0.4000052408154709,0,physical_safety,safety_critical_edge_case_coverage,0.0,76324,0,0.1,False,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.4,0.4000052408154709,0,physical_safety,outcome_severity_exposure,0.11160316545254442,76324,8518,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.0,0.0,1,content_safety,label_integrity,0.19131927377757904,76324,8526,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.0,0.0,1,content_safety,representation_imbalance,0.6503346635022126,76324,497,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,True,0.0,0.0,1,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.0,0.0,1,physical_safety,safety_critical_edge_case_coverage,0.1736,76324,66,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.0,0.0,1,physical_safety,outcome_severity_exposure,0.11160316545254442,76324,8518,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.03,0.03000366857082962,1,content_safety,label_integrity,0.19486886836409315,76324,8591,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
