dataset,subdimension,dimension,model,outcome_metric,n,pearson_r,ci_low,ci_high,expected_sign,sign_as_predicted,ci_excludes_zero,confirmed,rubric_r2,rubric_rmse,oracle_r2,oracle_rmse,naive_rmse,units
diabetes_130,representation_imbalance,content_safety,logreg,downstream_ece,35,0.12964302536452116,-0.18305436151550877,0.45652068711212346,+,True,False,False,0.016807314025666042,0.0023520130472281563,7.2970926379145595e-06,0.00237202259932864,0.002372031253810328,fraction
diabetes_130,representation_imbalance,content_safety,logreg,downstream_brier,35,-0.05630195226872018,-0.3972544884496871,0.27718112337635925,+,False,False,False,0.003169909829268569,0.0002164623452301235,5.2553276679079275e-05,0.00021680054909125387,0.00021680624610542271,fraction
diabetes_130,representation_imbalance,content_safety,logreg,worst_subgroup_auc,35,0.12890330225402424,-0.2384847106623076,0.4548311491329724,-,False,False,False,0.016616061331992227,0.033732983441160005,0.0006839723156996103,0.034005144464927244,0.03401677972261585,fraction
diabetes_130,representation_imbalance,content_safety,logreg,subgroup_auc_gap,35,-0.0002544494125876524,-0.3490315678588798,0.36133033658301544,+,False,False,False,6.47445038692851e-08,0.024096409344306496,0.0006467913674871317,0.024088616188867238,0.02409641012436157,fraction
diabetes_130,representation_imbalance,content_safety,xgboost,downstream_auc,35,0.11274783744995329,-0.1972916986696109,0.4449439169386204,-,False,False,False,0.0127120748496381,0.002031217507337004,0.0025928851977492506,0.0020416004337268905,0.0020442524098169997,fraction
diabetes_130,representation_imbalance,content_safety,xgboost,downstream_ece,35,-0.08275024343330452,-0.39657825497932936,0.26239294019413945,+,False,False,False,0.00684760278827079,0.0010788658919907773,0.010577829218943346,0.0010768379051177591,0.0010825787938119676,fraction
diabetes_130,representation_imbalance,content_safety,xgboost,downstream_brier,35,-0.01678736237147158,-0.36786665498182,0.31937279502089966,+,False,False,False,0.0002818155353925267,0.0002440755284249469,0.002505302911282814,0.00024380395141617318,0.00024410992783369318,fraction
diabetes_130,representation_imbalance,content_safety,xgboost,worst_subgroup_auc,35,0.2329417185418788,-0.1410544053801987,0.534459131632094,-,False,False,False,0.05426184423724334,0.026587818333466136,0.02131684233015041,0.027046950393146276,0.027339920490065672,fraction
diabetes_130,representation_imbalance,content_safety,xgboost,subgroup_auc_gap,35,-0.008272786794335962,-0.31614116653500796,0.34898410891816817,+,False,False,False,6.843900134467784e-05,0.029812984015160433,0.0002162033607010505,0.02981078113477594,0.029814004252955325,fraction
diabetes_130,safety_critical_edge_case_coverage,physical_safety,logreg,downstream_auc,35,0.058806873746288846,-0.27801609083583423,0.368109767789065,-,False,False,False,0.0034582483998141234,0.0035297985941756147,0.0002925627622774041,0.003535400653771269,0.003535917930566495,fraction
diabetes_130,safety_critical_edge_case_coverage,physical_safety,logreg,downstream_ece,35,0.28153211849969717,-0.047153446522341984,0.5635500358908349,+,True,False,False,0.07926033374692742,0.00227918399568176,2.0911164421266726e-05,0.00237523409759087,0.0023752589324357418,fraction
diabetes_130,safety_critical_edge_case_coverage,physical_safety,logreg,downstream_brier,35,0.3857617773668595,0.059599404788538764,0.6411732406278063,+,True,True,True,0.14881214887724237,0.00020394336276712815,0.0063214631992322134,0.0002203534337319758,0.00022105323135507735,fraction
diabetes_130,safety_critical_edge_case_coverage,physical_safety,logreg,worst_subgroup_auc,35,-0.1335073011532146,-0.4486686554283429,0.19471261361073866,-,True,False,False,0.017824199461215273,0.032653490513399074,0.005725193018115027,0.03285399715335111,0.03294845065837625,fraction
diabetes_130,safety_critical_edge_case_coverage,physical_safety,logreg,subgroup_auc_gap,35,0.05992387173418494,-0.2619885048090719,0.38640875965626437,+,True,False,False,0.003590870403614721,0.025813311642540627,0.01457916486213462,0.025670583819985996,0.02585978296282382,fraction
diabetes_130,safety_critical_edge_case_coverage,physical_safety,xgboost,downstream_auc,35,-0.21728046283486516,-0.5060274479837237,0.15479567928417096,-,True,False,False,0.04721079952972951,0.001895089799036751,0.01762505981189333,0.0019242877652307984,0.0019414731149517356,fraction
diabetes_130,safety_critical_edge_case_coverage,physical_safety,xgboost,downstream_ece,35,0.3372205567112875,0.00010199889925534005,0.6262390564172653,+,True,True,True,0.11371770386867064,0.0008869990235325354,0.01827258919060404,0.0009335392089880427,0.0009421869934062126,fraction
diabetes_130,safety_critical_edge_case_coverage,physical_safety,xgboost,downstream_brier,35,0.41334283604115496,0.07796645372614626,0.6694169470857755,+,True,True,True,0.1708523001065454,0.0002306699749768605,0.02696556563316721,0.000249884445287828,0.000253323289197505,fraction
diabetes_130,safety_critical_edge_case_coverage,physical_safety,xgboost,worst_subgroup_auc,35,0.016673754470411452,-0.30928298354140293,0.2760962100500489,-,False,False,False,0.0002780140881391002,0.030969311196584692,0.0005463705146648845,0.030965154355184387,0.030973617046827075,fraction
diabetes_130,safety_critical_edge_case_coverage,physical_safety,xgboost,subgroup_auc_gap,35,0.07712512151928734,-0.21659995886278594,0.4012218007213354,+,True,False,False,0.005948284369364787,0.03588091589781372,0.0015342696568428904,0.0359604909641587,0.03598810929376469,fraction
framingham,label_integrity,content_safety,logreg,downstream_auc,35,-0.6685821766691984,-0.8047288223709432,-0.5375384333391138,-,True,True,True,0.4470021269597231,0.0452106392502797,0.5544826202271167,0.04057992524081101,0.060796547488262666,fraction
framingham,label_integrity,content_safety,logreg,downstream_ece,35,0.9785328400855267,0.9719081444676871,0.9862370846034199,+,True,True,True,0.9575265191258471,0.01872899839918536,0.9906175515135238,0.008802655780726918,0.09087734388198372,fraction
framingham,label_integrity,content_safety,logreg,downstream_brier,35,0.91174801571833,0.8810134851820979,0.9427431271947087,+,True,True,True,0.8312844441663122,0.01243287905441069,0.9309130438578875,0.007955952375763286,0.030268726232587945,fraction
framingham,label_integrity,content_safety,logreg,worst_subgroup_auc,21,-0.38810123567595417,-0.656580149793076,-0.00883906618875042,-,True,True,True,0.0,,0.0,,0.1142320085143079,fraction
framingham,label_integrity,content_safety,logreg,subgroup_auc_gap,21,-0.04670663123734278,-0.4656670497400462,0.2991076964521577,+,False,False,False,0.0,,0.0,,0.12569541509313492,fraction
framingham,label_integrity,content_safety,xgboost,downstream_auc,35,-0.8338584894939591,-0.9221028651053483,-0.7310446407065458,-,True,True,True,0.695319980501147,0.03107428686258876,0.749912894869228,0.0281530098951707,0.05629621326642847,fraction
framingham,label_integrity,content_safety,xgboost,downstream_ece,35,0.9488477163460944,0.9258817486895329,0.9703937979447917,+,True,True,True,0.9003119888151991,0.02680311937444683,0.9659537552639651,0.01566384882722744,0.08489143496164193,fraction
framingham,label_integrity,content_safety,xgboost,downstream_brier,35,0.9096276062775055,0.8757064055646422,0.9444569541594184,+,True,True,True,0.8274223821021449,0.013203696808882568,0.9266440427629448,0.008608371530456124,0.03178361622930181,fraction
framingham,label_integrity,content_safety,xgboost,worst_subgroup_auc,21,0.12899743149111761,-0.27954845490742525,0.5231891785407404,-,False,False,False,0.0,,0.0,,0.09488932068622873,fraction
framingham,label_integrity,content_safety,xgboost,subgroup_auc_gap,21,-0.2191890422804674,-0.5076119551210816,0.28491670537469743,+,False,False,False,0.0,,0.0,,0.16467704652415555,fraction
framingham,measurement_range_violation,physical_safety,logreg,downstream_auc,35,-0.1616418819695697,-0.4791801869464458,0.18108972936513748,-,True,False,False,0.026128098006664047,0.0178207551924197,0.031003494204031035,0.017776092103951962,0.018058230257360867,fraction
