dataset,injector,targets_subdimension,dose,seed,realized_dose,pretraining_score,threshold,risk_level,modality,context,targets_subdimension_post,dimension,model,n_train,n_test,units,downstream_auc,downstream_ece,downstream_brier,evaluator,worst_subgroup_auc,subgroup_auc_gap,n_subgroups_scored,evaluator_independent_of_pretraining_detector,harm_threshold,downstream_emh,downstream_harm_probability,downstream_mean_harm,n_prompts,n_generations
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.0,1,0.0,0.1736,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324.0,25442.0,fraction,0.6433938507353842,0.003643623129067649,0.0960632675259399,clean held-out test set (no pre-training detector reused),0.4974358974358974,0.3040133779264215,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.0,1,0.0,0.1736,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324.0,25442.0,fraction,0.6768383072709911,0.0023120882722224966,0.09436188847728107,clean held-out test set (no pre-training detector reused),0.564753320683112,0.21473385880406748,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.03,1,0.0299171214877703,0.1744,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324.0,25442.0,fraction,0.6436934147818829,0.003683137108610746,0.09604954534663897,clean held-out test set (no pre-training detector reused),0.4923076923076923,0.3062430323299889,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.03,1,0.0299171214877703,0.1744,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324.0,25442.0,fraction,0.6787733027611675,0.0029905362462273634,0.09419800110224152,clean held-out test set (no pre-training detector reused),0.5846774193548387,0.20506617038875108,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.05,1,0.0499292500505356,0.1752,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324.0,25442.0,fraction,0.6433509334288217,0.0031510019769544814,0.09606682819999614,clean held-out test set (no pre-training detector reused),0.5025641025641026,0.2974358974358975,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.05,1,0.0499292500505356,0.1752,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324.0,25442.0,fraction,0.6755713584606943,0.0025732592785277413,0.09435744056156292,clean held-out test set (no pre-training detector reused),0.5704459203036053,0.22955407969639474,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.1,1,0.1000606428138265,0.1764,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324.0,25442.0,fraction,0.6436326230560653,0.004107924851475403,0.09607204634084077,clean held-out test set (no pre-training detector reused),0.4871794871794871,0.3229654403567448,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.1,1,0.1000606428138265,0.1764,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324.0,25442.0,fraction,0.6771068131504673,0.0024576374337240557,0.09432559004336952,clean held-out test set (no pre-training detector reused),0.6114800759013282,0.1936481292268769,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.2,1,0.1999191429148979,0.1788,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324.0,25442.0,fraction,0.6436573386872232,0.003873531418219877,0.09607386172972074,clean held-out test set (no pre-training detector reused),0.482051282051282,0.32229654403567454,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.2,1,0.1999191429148979,0.1788,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324.0,25442.0,fraction,0.6773363599644362,0.001200283542865503,0.09435237242581654,clean held-out test set (no pre-training detector reused),0.5716318785578748,0.19759889067289438,12.0,,,,,,,
