dataset,modality,context,risk_level,injector,targets_subdimension,is_target,dose,realized_dose,seed,dimension,subdimension,pretraining_score,n_records,n_flagged,threshold,exceeds_threshold,detector,units
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.3,0.30045871559633025,0,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.3,0.30045871559633025,0,physical_safety,safety_critical_edge_case_coverage,0.1712,76324,72,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.3,0.30045871559633025,0,physical_safety,outcome_severity_exposure,0.11177349195534825,76324,8531,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.4,0.40022935779816515,0,content_safety,label_integrity,0.19168795613627027,76324,8543,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,True,0.4,0.40022935779816515,0,content_safety,representation_imbalance,0.6556016830504541,76324,486,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.4,0.40022935779816515,0,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.4,0.40022935779816515,0,physical_safety,safety_critical_edge_case_coverage,0.172,76324,70,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.4,0.40022935779816515,0,physical_safety,outcome_severity_exposure,0.11166867564593051,76324,8523,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.0,0.0,1,content_safety,label_integrity,0.19131927377757904,76324,8526,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,True,0.0,0.0,1,content_safety,representation_imbalance,0.6503346635022126,76324,497,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.0,0.0,1,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.0,0.0,1,physical_safety,safety_critical_edge_case_coverage,0.1736,76324,66,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.0,0.0,1,physical_safety,outcome_severity_exposure,0.11160316545254442,76324,8518,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.03,0.03009259259259259,1,content_safety,label_integrity,0.19123575607947912,76324,8515,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,True,0.03,0.03009259259259259,1,content_safety,representation_imbalance,0.6506753165078202,76324,497,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.03,0.03009259259259259,1,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.03,0.03009259259259259,1,physical_safety,safety_critical_edge_case_coverage,0.1736,76324,66,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.03,0.03009259259259259,1,physical_safety,outcome_severity_exposure,0.11157696137518998,76324,8516,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.05,0.04976851851851852,1,content_safety,label_integrity,0.1912545756799924,76324,8526,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,True,0.05,0.04976851851851852,1,content_safety,representation_imbalance,0.650898051165333,76324,497,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.05,0.04976851851851852,1,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.05,0.04976851851851852,1,physical_safety,safety_critical_edge_case_coverage,0.1736,76324,66,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.05,0.04976851851851852,1,physical_safety,outcome_severity_exposure,0.11160316545254442,76324,8518,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.1,0.09953703703703703,1,content_safety,label_integrity,0.19131297806072203,76324,8532,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,True,0.1,0.09953703703703703,1,content_safety,representation_imbalance,0.6514614388284533,76324,497,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.1,0.09953703703703703,1,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.1,0.09953703703703703,1,physical_safety,safety_critical_edge_case_coverage,0.1736,76324,66,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.1,0.09953703703703703,1,physical_safety,outcome_severity_exposure,0.11164247156857607,76324,8521,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.2,0.20023148148148148,1,content_safety,label_integrity,0.1914126047683625,76324,8533,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
