dataset,modality,context,injector,targets_subdimension,dimension,dose,realized_dose,seed,model,n_train,n_test,units,downstream_auc,downstream_ece,downstream_brier,evaluator,worst_subgroup_auc,subgroup_auc_gap,n_subgroups_scored
framingham,tabular,health,label_flip,label_integrity,content_safety,0.0,0.0,2,xgboost,3180,1060,fraction,0.682138193576023,0.05411097454719844,0.12437455161531516,clean held-out test set (no pre-training detector reused),0.39655172413793105,0.41594827586206884,2.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.03,0.029874213836477988,2,logreg,3180,1060,fraction,0.7334236107752576,0.024336072336298205,0.11614783288083214,clean held-out test set (no pre-training detector reused),0.46551724137931033,0.2323994252873563,2.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.03,0.029874213836477988,2,xgboost,3180,1060,fraction,0.6597530727723695,0.042042564121426415,0.12661024351434813,clean held-out test set (no pre-training detector reused),0.3620689655172414,0.5025143678160919,2.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.05,0.05,2,logreg,3180,1060,fraction,0.7397798796454307,0.04614441799683205,0.11654842648936539,clean held-out test set (no pre-training detector reused),0.4482758620689655,0.23922413793103448,2.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.05,0.05,2,xgboost,3180,1060,fraction,0.6638017396831538,0.044046286099045616,0.12638130363007308,clean held-out test set (no pre-training detector reused),0.5,0.0625,2.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.1,0.1,2,logreg,3180,1060,fraction,0.7347432274646086,0.06971694891407958,0.12105043408843243,clean held-out test set (no pre-training detector reused),0.65625,0.016163793103448176,2.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.1,0.1,2,xgboost,3180,1060,fraction,0.6584887279862373,0.061580057221218794,0.1318618088741204,clean held-out test set (no pre-training detector reused),0.41379310344827586,0.5028735632183907,2.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.2,0.2,2,logreg,3180,1060,fraction,0.7162271398862781,0.14457348109914928,0.1391644260676913,clean held-out test set (no pre-training detector reused),0.27586206896551724,0.5053879310344828,2.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.2,0.2,2,xgboost,3180,1060,fraction,0.6213598269989429,0.13451480228664736,0.14751912964169506,clean held-out test set (no pre-training detector reused),0.46551724137931033,0.08656609195402304,2.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.3,0.3,2,logreg,3180,1060,fraction,0.6815785655559317,0.18515769641185992,0.15798477707717914,clean held-out test set (no pre-training detector reused),0.6770833333333333,0.09877873563218398,2.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.3,0.3,2,xgboost,3180,1060,fraction,0.6035691831503602,0.1927202765390558,0.16701300893192625,clean held-out test set (no pre-training detector reused),0.396551724137931,0.17636494252873564,2.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.4,0.4,2,logreg,3180,1060,fraction,0.6591519908248642,0.2665967905381052,0.19497790263588222,clean held-out test set (no pre-training detector reused),0.375,0.07327586206896552,2.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.4,0.4,2,xgboost,3180,1060,fraction,0.5376090756465086,0.27120312830819837,0.21042390792087523,clean held-out test set (no pre-training detector reused),0.34375,0.12176724137931033,2.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.0,0.0,3,logreg,3180,1060,fraction,0.7278687845017583,0.020212109656561797,0.11504797950578392,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.0,0.0,3,xgboost,3180,1060,fraction,0.6545713318455979,0.05641727432068264,0.12804909586960664,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.03,0.029874213836477988,3,logreg,3180,1060,fraction,0.7277375137316133,0.02290979231440355,0.11571000971475173,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.03,0.029874213836477988,3,xgboost,3180,1060,fraction,0.6699023760009396,0.03620973842719324,0.12538596332294255,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.05,0.05,3,logreg,3180,1060,fraction,0.7285942282315064,0.039920853116125386,0.11699036262114199,clean held-out test set (no pre-training detector reused),,,
